title,author,genre,year
Unique Book 1,Author 1,history,1908
Unique Book 2,Author 2,sci_fi,1988
Unique Book 3,Author 3,history,1951
Unique Book 4,Author 4,fantasy,1936
Unique Book 5,Author 5,biography,1986
Unique Book 6,Author 6,fiction,2025
Unique Book 7,Author 7,romance,1852
Unique Book 8,Author 8,horror,1979
Unique Book 9,Author 9,fiction,1920
Unique Book 10,Author 10,fantasy,1892
Unique Book 11,Author 11,romance,2020
Unique Book 12,Author 12,romance,1889
Unique Book 13,Author 13,fantasy,1925
Unique Book 14,Author 14,history,2022
Unique Book 15,Author 15,romance,1885
Unique Book 16,Author 16,romance,1944
Unique Book 17,Author 17,fiction,1967
Unique Book 18,Author 18,fantasy,1946
Unique Book 19,Author 19,history,1833
Unique Book 20,Author 20,history,1821
Unique Book 21,Author 21,fiction,2026
Unique Book 22,Author 22,horror,1817
Unique Book 23,Author 23,fantasy,2015
Unique Book 24,Author 24,sci_fi,1828
Unique Book 25,Author 25,fiction,1915
Unique Book 26,Author 26,fiction,1946
Unique Book 27,Author 27,romance,2000
Unique Book 28,Author 28,sci_fi,1915
Unique Book 29,Author 29,history,1893
Unique Book 30,Author 30,sci_fi,2000
Unique Book 31,Author 31,fantasy,2019
Unique Book 32,Author 32,fantasy,1930
Unique Book 33,Author 33,history,1869
Unique Book 34,Author 34,biography,1832
Unique Book 35,Author 35,history,1960
Unique Book 36,Author 36,horror,2007
Unique Book 37,Author 37,history,1977
Unique Book 38,Author 38,biography,1936
Unique Book 39,Author 39,romance,2002
Unique Book 40,Author 40,fiction,1819
Unique Book 41,Author 41,history,1921
Unique Book 42,Author 42,biography,1898
Unique Book 43,Author 43,fantasy,1911
Unique Book 44,Author 44,fiction,1858
Unique Book 45,Author 45,history,1927
Unique Book 46,Author 46,sci_fi,1840
Unique Book 47,Author 47,sci_fi,2013
Unique Book 48,Author 48,sci_fi,1918
Unique Book 49,Author 49,fiction,1995
Unique Book 50,Author 50,sci_fi,1941
Unique Book 51,Author 51,romance,2002
Unique Book 52,Author 52,romance,1912
Unique Book 53,Author 53,horror,2016
Unique Book 54,Author 54,fantasy,1812
Unique Book 55,Author 55,fiction,1858
Unique Book 56,Author 56,fiction,1825
Unique Book 57,Author 57,fiction,1819
Unique Book 58,Author 58,biography,1801
Unique Book 59,Author 59,biography,1900
Unique Book 60,Author 60,fiction,1931
Unique Book 61,Author 61,fantasy,1953
